Question_Id,Question_Header,Question_Type,Question_CorrectAnswer, Question_Grade 
1,"GIS Concepts and Techniques includes practical sessions. 
-True 
-False",True Or False,TRUE,1
2,What are the key concepts covered in GIS Concepts and Techniques?,Article,Explanation of key concepts in GIS Concepts and Techniques.,1
3,"GIS Concepts and Techniques includes practical sessions. 
-True 
-False",True Or False,FALSE,1
4,"Which of the following is a key topic in GIS Concepts and Techniques? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,C,1
5,"GIS Concepts and Techniques includes practical sessions. 
-True 
-False",True Or False,TRUE,1
6,What are the key concepts covered in GIS Concepts and Techniques?,Article,Explanation of key concepts in GIS Concepts and Techniques.,1
7,"GIS Concepts and Techniques includes practical sessions. 
-True 
-False",True Or False,FALSE,1
8,What are the key concepts covered in GIS Concepts and Techniques?,Article,Explanation of key concepts in GIS Concepts and Techniques.,1
9,"Which of the following is a key topic in GIS Concepts and Techniques? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,C,1
10,"Which of the following is a key topic in Geo-Apps Development?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
11,What are the key concepts covered in Geo-Apps Development?,Article,Explanation of key concepts in Geo-Apps Development.,1
12,"Geo-Apps Development includes practical sessions.
-True
-False",True Or False,TRUE,1
13,"Which of the following is a key topic in Geo-Apps Development?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
14,"Which of the following is a key topic in Geo-Apps Development? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
15,"Geo-Apps Development includes practical sessions.
-True
-False",True Or False,FALSE,1
16,"Which of the following is a key topic in Geo-Apps Development? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
17,"Which of the following is a key topic in Geo-Apps Development? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,C,1
18,"Geo-Apps Development includes practical sessions.
-True
-False",True Or False,TRUE,1
19,What are the key concepts covered in Remote Sensing and Digital Image Processing?,Article,Explanation of key concepts in Remote Sensing and Digital Image Processing.,1
20,"Remote Sensing and Digital Image Processing includes practical sessions.
-True
-False",True Or False,TRUE,1
21,"Remote Sensing and Digital Image Processing includes practical sessions.
-True
-False",True Or False,TRUE,1
22,"Which of the following is a key topic in Remote Sensing and Digital Image Processing?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,D,1
23,"Which of the following is a key topic in Remote Sensing and Digital Image Processing?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,D,1
24,What are the key concepts covered in Remote Sensing and Digital Image Processing?,Article,Explanation of key concepts in Remote Sensing and Digital Image Processing.,1
25,"Remote Sensing and Digital Image Processing includes practical sessions.
-True
-False",True Or False,FALSE,1
26,What are the key concepts covered in Remote Sensing and Digital Image Processing?,Article,Explanation of key concepts in Remote Sensing and Digital Image Processing.,1
27,What are the key concepts covered in Remote Sensing and Digital Image Processing?,Article,Explanation of key concepts in Remote Sensing and Digital Image Processing.,1
28,"Remote Sensing and Digital Image Processing includes practical sessions. 
-True
-False",True Or False,FALSE,1
29,What are the key concepts covered in Analytical SQL?,Article,Explanation of key concepts in Analytical SQL.,1
30,"Which of the following is a key topic in Analytical SQL? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,D,1
31,"Analytical SQL includes practical sessions.
-True
-False",True Or False,TRUE,1
32,"Analytical SQL includes practical sessions.
-True
-False",True Or False,TRUE,1
33,What are the key concepts covered in Analytical SQL?,Article,Explanation of key concepts in Analytical SQL.,1
34,"Analytical SQL includes practical sessions.
-True
-False",True Or False,TRUE,1
35,What are the key concepts covered in Analytical SQL?,Article,Explanation of key concepts in Analytical SQL.,1
36,"Which of the following is a key topic in Analytical SQL? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,C,1
37,"Analytical SQL includes practical sessions.
-True
-False",True Or False,TRUE,1
38,What are the key concepts covered in Analytical SQL?,Article,Explanation of key concepts in Analytical SQL.,1
39,"Which of the following is a key topic in Data Warehousing Fundamentals and Data Modeling? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
40,What are the key concepts covered in Data Warehousing Fundamentals and Data Modeling?,Article,Explanation of key concepts in Data Warehousing Fundamentals and Data Modeling.,1
41,What are the key concepts covered in Data Warehousing Fundamentals and Data Modeling?,Article,Explanation of key concepts in Data Warehousing Fundamentals and Data Modeling.,1
42,What are the key concepts covered in Data Warehousing Fundamentals and Data Modeling?,Article,Explanation of key concepts in Data Warehousing Fundamentals and Data Modeling.,1
43,"Data Warehousing Fundamentals and Data Modeling includes practical sessions.
-True
-False",True Or False,FALSE,1
44,"Data Warehousing Fundamentals and Data Modeling includes practical sessions.
-True
-False",True Or False,TRUE,1
45,"Which of the following is a key topic in Data Warehousing Fundamentals and Data Modeling? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,C,1
46,What are the key concepts covered in Data Warehousing Fundamentals and Data Modeling?,Article,Explanation of key concepts in Data Warehousing Fundamentals and Data Modeling.,1
47,What are the key concepts covered in Data Warehousing Fundamentals and Data Modeling?,Article,Explanation of key concepts in Data Warehousing Fundamentals and Data Modeling.,1
48,"Data Warehousing Fundamentals and Data Modeling includes practical sessions.
-True
-False",True Or False,TRUE,1
49,What are the key concepts covered in Visualization & Storytelling using Tableau.?,Article,Explanation of key concepts in Visualization & Storytelling using Tableau..,1
50,"Visualization & Storytelling using Tableau. includes practical sessions.
-True
-False",True Or False,TRUE,1
51,"Which of the following is a key topic in Visualization & Storytelling using Tableau.?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,C,1
52,"Which of the following is a key topic in Visualization & Storytelling using Tableau.?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
53,What are the key concepts covered in Visualization & Storytelling using Tableau.?,Article,Explanation of key concepts in Visualization & Storytelling using Tableau..,1
54,"Which of the following is a key topic in Visualization & Storytelling using Tableau.?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
55,"Visualization & Storytelling using Tableau. includes practical sessions.
-True
-False",True Or False,TRUE,1
56,"Visualization & Storytelling using Tableau. includes practical sessions. 
-True
-False",True Or False,FALSE,1
57,"Visualization & Storytelling using Tableau. includes practical sessions.
-True
-False",True Or False,TRUE,1
58,What are the key concepts covered in Visualization & Storytelling using Tableau.?,Article,Explanation of key concepts in Visualization & Storytelling using Tableau..,1
59,What are the key concepts covered in Apache Hadoop?,Article,Explanation of key concepts in Apache Hadoop.,1
60,"Apache Hadoop includes practical sessions.
-True
-False",True Or False,TRUE,1
61,"Which of the following is a key topic in Apache Hadoop? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
62,"Apache Hadoop includes practical sessions.
-True
-False",True Or False,FALSE,1
63,"Which of the following is a key topic in Apache Hadoop? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
64,"Apache Hadoop includes practical sessions.
-True
-False",True Or False,TRUE,1
